score,word
12,可爱
6,价廉物美
4,香脆
3,效率高
4,好
6,不错
4,好
4,正好
4,好
3,很快
6,不错
12,靓丽
3,快速
6,美味
9,好吃
6,不错
4,正好
9,好看
7,幸福感
3,快
4,好
4,值得
4,好
9,精致
11,喜欢
3,很快
12,美丽
3,方便快捷
4,香喷喷
4,好
6,不错
4,厚实
9,好吃
4,香
6,不错
4,安全可靠
4,赞
3,推荐
3,干净
12,可爱
3,强烈推荐
4,值得
4,好
4,值得
4,好
4,好
9,精致
11,喜欢
3,很快
12,美丽
4,香喷喷
3,方便快捷
4,值得
3,挺快
3,很快
1,支持
6,加油
4,好
6,舒服
4,好
3,推荐
6,物美价廉
4,好
12,可爱
11,喜欢
4,好
4,值得
3,推荐
6,不错
8,漂亮
3,高级
4,香酥
9,好吃
4,香气
3,不可多得
1,热乎
1,热乎
1,简单
1,简单
1,厚
1,简单
1,实用
1,实用
1,小巧玲珑
1,实用
1,新鲜
1,均匀
1,便捷
1,果断
1,温馨
1,简单
1,新鲜
1,感谢
1,一如既往
1,简单
1,有趣
1,自动
1,使用方便
1,十足
